,Restaurant#,Restaurant Name,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,price
4015,RESTPUNE4016,Punnamada Kerala Kitchen," Expressway, Pune",3.8,7,4.3,236,450
4016,RESTPUNE4017,Highway Inn," Balewadi, Pune",3.8,7,3.9,46,700
4017,RESTPUNE4018,MyMate," Kharadi, Pune",3.8,7,3.9,128,500
4018,RESTPUNE4019,Hotel Laxmi," Hadapsar, Pune",3.8,7,0.0,0,500
4019,RESTPUNE4020,Prawn Hub," Baner, Pune",3.8,7,3.8,93,800
4020,RESTPUNE4021,Ruchira Snacks & Poli Bhaji Center," Narhe, Pune",3.8,7,0.0,0,200
4021,RESTPUNE4022,Aai Saheb Jagubai Hotel," Chinchwad, Pune",3.8,7,3.9,65,550
4022,RESTPUNE4023,JusT Burgers," Salunkhe Vihar Road, Pune",3.8,7,3.9,32,350
4023,RESTPUNE4024,Cafe Shahi," NIBM Road, Pune",3.8,7,3.9,26,300
4024,RESTPUNE4025,Jalaram Snacks And Pav Bhaji," Dhanori, Pune",3.8,7,0.0,20,200
4025,RESTPUNE4026,Sujan Foods," Sadashiv Peth, Pune",3.8,7,0.0,0,150
4026,RESTPUNE4027,Shawarmania," Hinjawadi, Pune",3.8,7,0.0,0,300
4027,RESTPUNE4028,Sakshi Hotel," Pimpri, Pune",3.8,7,3.8,164,500
4028,RESTPUNE4029,Cafe 18," Pimpri, Pune",3.7,7,3.9,37,400
4029,RESTPUNE4030,Hotel Marathwada," Sadashiv Peth, Pune",3.7,7,0.0,1,350
4030,RESTPUNE4031,Arun Ice Cream," Kothrud, Pune",3.7,7,3.9,35,200
4031,RESTPUNE4032,Hotel Shree Vinayaka Pure Veg," Pimple Gurav, Pune",3.7,7,3.9,505,400
4032,RESTPUNE4033,Jogi Ke Chhole Bhature," Sinhgad Road, Pune",3.7,7,3.2,34,200
4033,RESTPUNE4034,Al Madina Restaurant," Baner, Pune",3.7,7,0.0,0,450
4034,RESTPUNE4035,Hotel Kalampatil," Ravet, Pune",3.7,7,0.0,12,300
4035,RESTPUNE4036,Shri Krishna's Roll," Chinchwad, Pune",3.7,7,0.0,1,300
4036,RESTPUNE4037,Chandromaa's," Fatima Nagar, Pune",3.7,7,0.0,0,600
4037,RESTPUNE4038,A1 Ice Cream Parlour," Khadki, Pune",3.7,7,0.0,0,250
4038,RESTPUNE4039,The Quality Sandwich," Dhankawadi, Pune",3.7,7,0.0,3,250
4039,RESTPUNE4040,Cafe Refuel," Ravet, Pune",3.7,7,0.0,0,350
4040,RESTPUNE4041,Aaishvary Paavbhaji And Snacks," Hadapsar, Pune",3.7,7,0.0,16,300
4041,RESTPUNE4042,Manu's Cafe," Pashan, Pune",3.7,7,0.0,11,550
4042,RESTPUNE4043,Chakrapani Bhel And Tea," Wagholi, Pune",3.7,7,3.9,55,200
4043,RESTPUNE4044,DE'JA'VU Shawarma & Biriyani," Chinchwad, Pune",3.6,7,0.0,3,400
4044,RESTPUNE4045,Karwaan Resto," Chandan Nagar, Pune",3.6,7,3.9,16,800
4045,RESTPUNE4046,Siddhivinayak Wada Pav Center," Vishrantwadi, Pune",3.6,7,0.0,0,100
4046,RESTPUNE4047,Kolhapuri Restaurant," Talegaon, Pune",3.6,7,3.9,132,500
4047,RESTPUNE4048,Shifa Tea House," Wakad, Pune",3.6,7,4.1,188,150
4048,RESTPUNE4049,Sairat Chinese And Tandoor Point," Kharadi, Pune",3.6,7,3.6,58,300
4049,RESTPUNE4050,Aradhana Garden Restaurant," Bhosari, Pune",3.6,7,0.0,0,600
4050,RESTPUNE4051,Hotel Kandil," Shivapur, Pune",3.6,7,0.0,0,600
4051,RESTPUNE4052,Cake & Celebration," Dehu Road, Pune",3.6,7,0.0,0,350
4052,RESTPUNE4053,Famous Of Patna," Pimple Saudagar, Pune",3.6,7,0.0,0,200
4053,RESTPUNE4054,Girija Family Restaurant," Akurdi, Pune",3.6,7,3.9,78,500
4054,RESTPUNE4055,Happy Punjabi Dhaba," Pune-Solapur Road, Pune",3.6,7,0.0,0,400
4055,RESTPUNE4056,Foodzen," Kothrud, Pune",3.6,7,0.0,6,400
4056,RESTPUNE4057,Arabian Cafe," Camp Area, Pune",3.6,7,3.9,18,250
4057,RESTPUNE4058,The Pizza Rocks Cafe," Hadapsar, Pune",3.6,7,0.0,19,400
4058,RESTPUNE4059,Sai Krupa Biryani House," Senapati Bapat Road, Pune",3.6,7,0.0,3,200
4059,RESTPUNE4060,The Thalipeeth Cafe," Karve Nagar, Pune",3.5,7,3.7,26,350
4060,RESTPUNE4061,Jai Malhar Pure Non-Veg Restaurant," Pune University, Pune",3.5,7,3.2,31,400
4061,RESTPUNE4062,Napovo Pizzburg," Viman Nagar, Pune",3.5,7,3.7,34,600
4062,RESTPUNE4063,Rockin Cafe," Wakad, Pune",3.5,7,0.0,1,250
4063,RESTPUNE4064,Fangman," Mulshi Road, Pune",3.5,7,0.0,0,1300
4064,RESTPUNE4065,Yash Chinese," Vishrantwadi, Pune",3.5,7,0.0,21,400
4065,RESTPUNE4066,Glass Cafe," Lonavala, Pune",3.5,7,0.0,0,1000
4066,RESTPUNE4067,Hotel Jai Malhar," Pimpri, Pune",3.5,7,4.2,146,600
4067,RESTPUNE4068,Hotel Dwarka," Talegaon, Pune",3.5,7,3.8,407,600
4068,RESTPUNE4069,Triveni Pav Bhaji & South Indian," Aundh, Pune",3.5,7,3.9,53,250
4069,RESTPUNE4070,Cafe Campus Stories," Wagholi, Pune",3.5,7,3.6,97,400
4070,RESTPUNE4071,Moon Light Real Chinese Tandoor Point," Kothrud, Pune",3.5,7,3.8,300,300
4071,RESTPUNE4072,Preeti Juice Bar And Pav Bhaji," Sadashiv Peth, Pune",3.5,7,3.8,232,300
4072,RESTPUNE4073,Appa Misalwale," Kondhwa, Pune",3.5,7,0.0,19,200
4073,RESTPUNE4074,Ayush Chinese Corner," Bibvewadi, Pune",3.5,7,3.5,124,300
4074,RESTPUNE4075,Gomantak Restaurant," Dange Chowk, Pune",3.5,7,0.0,8,600
4075,RESTPUNE4076,South Corner Non Veg," Undri, Pune",3.5,7,0.0,19,700
4076,RESTPUNE4077,Puneri Jhatka," Kondhwa, Pune",3.5,7,0.0,10,250
4077,RESTPUNE4078,Eli's Gourmet," NIBM Road, Pune",3.5,7,0.0,5,450
4078,RESTPUNE4079,Swaad Kitchen," Dhanori, Pune",3.5,7,0.0,10,200
4079,RESTPUNE4080,College Katta," Talegaon, Pune",3.5,7,0.0,11,200
4080,RESTPUNE4081,Radhe Snacks Center," Khadakwasla, Pune",3.5,7,0.0,0,100
4081,RESTPUNE4082,Biryani B-Box," Katraj, Pune",3.4,7,4.1,6406,1000
